Date,Plus_Minus
10/27/15,16
10/30/15,20
10/31/15,14
11/2/15,50
11/4/15,4
11/6/15,15
11/7/15,9
11/9/15,14
11/11/15,16
11/12/15,13
11/14/15,8
11/17/15,5
11/19/15,7
11/20/15,12
11/22/15,13
11/24/15,34
11/27/15,19
11/28/15,19
11/30/15,3
12/2/15,17
12/5/15,3
12/6/15,16
12/8/15,8
12/11/15,5
12/12/15,-13
12/16/15,25
12/18/15,9
12/23/15,18
12/25/15,6
12/28/15,19
12/30/15,-23
12/31/15,4
1/2/16,3
1/4/16,10
1/5/16,21
1/8/16,20
1/9/16,12
1/11/16,8
1/13/16,-2
1/14/16,18
1/16/16,-18
1/18/16,34
1/20/16,31
1/22/16,12
1/25/16,30
1/27/16,20
1/30/16,3
1/31/16,21
2/3/16,13
2/6/16,8
2/9/16,13
2/10/16,8
2/19/16,-32
2/20/16,3
2/22/16,10
2/24/16,6
2/25/16,16
2/27/16,3
3/1/16,4
3/3/16,15
3/6/16,-17
3/7/16,6
3/9/16,21
3/11/16,16
3/12/16,7
3/14/16,18
3/16/16,36
3/18/16,18
3/19/16,-8
3/21/16,5
3/23/16,16
3/25/16,8
3/27/16,12
3/29/16,8
3/30/16,7
4/1/16,-3
4/3/16,25
4/5/16,-7
4/7/16,11
4/9/16,1
4/10/16,6
4/13/16,21
