Date_2015,Margin_2015,Opp_2015,Score_2015,Date_2016,Margin_2016,Opp_2016,Score_2016
10/29/14,18,SAC,95-77,10/27/15,16,NOP,111-95
11/1/14,23,LAL,127-104,10/30/15,20,HOU,112-92
11/2/14,5,POR,95-90,10/31/15,14,NOP,134-120
11/5/14,17,LAC,121-104,11/2/15,50,MEM,119-69
11/8/14,11,HOU,98-87,11/4/15,4,LAC,112-108
11/9/14,-12,PHO,95-107,11/6/15,15,DEN,119-104
11/11/14,-13,SAS,100-113,11/7/15,9,SAC,103-94
11/13/14,8,BRK,107-99,11/9/15,14,DET,109-95
11/15/14,25,CHO,112-87,11/11/15,16,MEM,100-84
11/16/14,21,LAL,136-115,11/12/15,13,MIN,129-116
11/21/14,13,UTA,101-88,11/14/15,8,BRK,107-99
11/23/14,5,OKC,91-86,11/17/15,5,TOR,115-110
11/25/14,17,MIA,114-97,11/19/15,7,LAC,124-117
11/26/14,15,ORL,111-96,11/20/15,12,CHI,106-94
11/28/14,5,CHO,106-101,11/22/15,13,DEN,118-105
11/30/14,11,DET,104-93,11/24/15,34,LAL,111-77
12/2/14,1,ORL,98-97,11/27/15,19,PHO,135-116
12/4/14,27,NOP,112-85,11/28/15,19,SAC,120-101
12/6/14,10,CHI,112-102,11/30/15,3,UTA,106-103
12/8/14,16,MIN,102-86,12/2/15,17,CHO,116-99
12/10/14,12,HOU,105-93,12/5/15,3,TOR,112-109
12/13/14,7,DAL,105-98,12/6/15,16,BRK,114-98
12/14/14,6,NOP,128-122,12/8/15,8,IND,131-123
12/16/14,-7,MEM,98-105,12/11/15,5,BOS,124-119
12/18/14,5,OKC,114-109,12/12/15,-13,MIL,95-108
12/22/14,20,SAC,128-108,12/16/15,25,PHO,128-103
12/23/14,-10,LAL,105-115,12/18/15,9,MIL,121-112
12/25/14,-14,LAC,86-100,12/23/15,18,UTA,103-85
12/27/14,13,MIN,110-97,12/25/15,6,CLE,89-83
12/30/14,40,PHI,126-86,12/28/15,19,SAC,122-103
1/2/15,21,TOR,126-105,12/30/15,-23,DAL,91-114
1/5/15,26,OKC,117-91,12/31/15,4,HOU,114-110
1/7/15,15,IND,117-102,1/2/16,3,DEN,111-108
1/9/15,18,CLE,112-94,1/4/16,10,CHO,111-101
1/13/15,11,UTA,116-105,1/5/16,21,LAL,109-88
1/14/15,15,MIA,104-89,1/8/16,20,POR,128-108
1/16/15,-12,OKC,115-127,1/9/16,12,SAC,128-116
1/17/15,25,HOU,131-106,1/11/16,8,MIA,111-103
1/19/15,43,DEN,122-79,1/13/16,-2,DEN,110-112
1/21/15,13,HOU,126-113,1/14/16,18,LAL,116-98
1/23/15,25,SAC,126-101,1/16/16,-18,DET,95-113
1/25/15,3,BOS,114-111,1/18/16,34,CLE,132-98
1/27/15,-2,CHI,111-113,1/20/16,31,CHI,125-94
1/30/15,-10,UTA,100-110,1/22/16,12,IND,122-110
1/31/15,19,PHO,106-87,1/25/16,30,SAS,120-90
2/3/15,25,SAC,121-96,1/27/16,20,DAL,127-107
2/4/15,14,DAL,128-114,1/30/16,3,PHI,108-105
2/6/15,-8,ATL,116-124,1/31/16,21,NYK,116-95
2/7/15,14,NYK,106-92,2/3/16,13,WAS,134-121
2/9/15,5,PHI,89-84,2/6/16,8,OKC,116-108
2/11/15,3,MIN,94-91,2/9/16,13,HOU,123-110
2/20/15,11,SAS,110-99,2/10/16,8,PHO,112-104
2/22/15,-6,IND,98-104,2/19/16,-32,POR,105-137
2/24/15,7,WAS,114-107,2/20/16,3,LAC,115-112
2/26/15,-11,CLE,99-110,2/22/16,10,ATL,102-92
2/27/15,24,TOR,113-89,2/24/16,6,MIA,118-112
3/1/15,5,BOS,106-101,2/25/16,16,ORL,130-114
3/2/15,-2,BRK,108-110,2/27/16,3,OKC,121-118
3/4/15,9,MIL,102-93,3/1/16,4,ATL,109-105
3/6/15,15,DAL,104-89,3/3/16,15,OKC,121-106
3/8/15,8,LAC,106-98,3/6/16,-17,LAL,95-112
3/9/15,18,PHO,98-80,3/7/16,6,ORL,119-113
3/11/15,7,DET,105-98,3/9/16,21,UTA,115-94
3/13/15,-11,DEN,103-114,3/11/16,16,POR,128-112
3/14/15,31,NYK,125-94,3/12/16,7,PHO,123-116
3/16/15,3,LAL,108-105,3/14/16,18,NOP,125-107
3/18/15,19,ATL,114-95,3/16/16,36,NYK,121-85
3/20/15,16,NOP,112-96,3/18/16,18,DAL,130-112
3/21/15,15,UTA,106-91,3/19/16,-8,SAS,79-87
3/23/15,31,WAS,107-76,3/21/16,5,MIN,109-104
3/24/15,14,POR,122-108,3/23/16,16,LAC,114-98
3/27/15,23,MEM,107-84,3/25/16,8,DAL,128-120
3/28/15,13,MIL,108-95,3/27/16,12,PHI,117-105
3/31/15,4,LAC,110-106,3/29/16,8,WAS,102-94
4/2/15,1,PHO,107-106,3/30/16,7,UTA,103-96
4/4/15,13,DAL,123-110,4/1/16,-3,BOS,106-109
4/5/15,-15,SAS,92-107,4/3/16,25,POR,136-111
4/7/15,-3,NOP,100-103,4/5/16,-7,MIN,117-124
4/9/15,11,POR,116-105,4/7/16,11,SAS,112-101
4/11/15,9,MIN,110-101,4/9/16,1,MEM,100-99
4/13/15,4,MEM,111-107,4/10/16,6,SAS,92-86
4/15/15,7,DEN,133-126,4/13/16,21,MEM,125-104
